Due Date:,Title:,HTML:,Owner:,Location:,Scope:,Relevant,Checked,Completed
2/22/2018,"['G II Lon 18 Bond Forfeiture - Harlan & Knott County, Kentucky']",http://www.kentuckybids.com/bid_opportunities/2018/01/30/8385738-G_II_Lon_18_Bond_Forfeiture___Harlan___Knott_County__Kentucky.html,['Commonwealth of Kentucky - FAC Division of Engineering & Contract Administration'],"['United States, KY']"," Perform reclamation work on approx. 15.5 acres of mine land. The work will consist of earthwork, gradework, and revegetation of 3 bond forfeiture permits.  ",3,X,
2/21/2018,['Web Accessibility Platform'],http://www.kentuckybids.com/bid_opportunities/2018/01/25/8375930-Web_Accessibility_Platform.html,"['University of Kentucky, Purchasing']","['United States, KY']", Provide comprehensive monitoring and reporting of the accessibility of the universitys many websites. The tool will be used as a web governance platform to identify and remediate accessibility issues wherever they occur on uks web presence. As such i... ,4,X,
2/5/2018,['RFP - North San Fernando Valley Bus Rapid Transit Corridor Planning and Environmental Study'],http://www.californiabids.com/bid_opportunities/2017/12/17/8288036-RFP___North_San_Fernando_Valley_Bus_Rapid_Transit_Corridor_Planning_and_Environmental_Study.html,['Los Angeles County Metropolitan Transportation Authority'],"['United States, CA']", Planning and environmental study.  ,R,X,
2/5/2018,['RFP - Preparation of an Environmental Impact Report (EIR) for the Village D Specific Plan Project'],http://www.californiabids.com/bid_opportunities/2018/01/19/8362056-RFP___Preparation_of_an_Environmental_Impact_Report__EIR__for_the_Village_D_Specific_Plan_Project.html,['Madera Purchasing Dept.'],"['United States, CA']"," To assist the city in preparing an environmental impact report (EIR) pursuant to the environmental quality act (CEQA) for the village D specific plan project. The project includes a specific plan, general plan amendment, and other related actions tha... ",R,X,
2/5/2018,"['Request for Qualifications (RFQ) for Architectural, Engineering, Owner’s Representative, Real Estate and other Professional and Technical Services for']",http://www.minnesotabids.com/bid_opportunities/2018/01/09/8337897-Request_for_Qualifications__RFQ__for_Architectural__Engineering__Owner%E2%80%99s_Representative__Real_Estate_and_other_Professional_and_Technical_Services_for.html,"['Minnesota State Colleges and Universities, Purchasing']","['United States, MN']"," Architectural/Engineering, Owner’s Representative, Real Estate and other related Professional/Technical services from Minnesota registered architects, engineers, environmental consultants, geoscientists, land surveyors, landscape architects, owner?... ",R,X,
2/5/2018,['CTTSO FY19 Broad Agency Announcement'],http://www.virginiabids.com/bid_opportunities/2018/01/06/8330586-CTTSO_FY19_Broad_Agency_Announcement.html,"['Department of the Navy, Navy Engineering Logistics Office']","['United States, VA']"," research and development services  in the following mission areas: Advanced Analytic Capabilities (AAC); Chemical, Biological, Radiological, Nuclear, and Explosives (CBRNE); Improvised Device Defeat/Explosives Countermeasures (IDD/EC); Investigative ... ",R,X,
2/6/2018,['Design of Alvarado Road Realigment'],http://www.californiabids.com/bid_opportunities/2018/01/03/8323827-Design_of_Alvarado_Road_Realigment.html,['San Diego Public Works Department – Engineering & Capital Project'],"['United States, CA']"," The proposal shall include, but may not be limited to, the following disciplines: civil engineering, traffic engineering, environmental services, water quality services, structural engineering, geotechnical services, hydrological engineering, right-o... ",R,X,
2/6/2018,['Former Ft Ord Habitat Restoration & Monitoring '],http://www.californiabids.com/bid_opportunities/2018/01/07/8333787-Former_Ft_Ord_Habitat_Restoration___Monitoring_.html,"['US Army Engineer District, Sacramento']","['United States, CA']"," The requirements are to (1) restore the natural plant habitat, following soil remediation activities in accordance with the goals and objectives identified in the Fort Ord Habitat Restoration Plan. See linked file. ",R,X,
2/7/2018,"['Risk Assessment, and Risk Assessment Support and Review']",http://www.bidsalaska.com/bid_opportunities/2018/01/16/8353734-Risk_Assessment__and_Risk_Assessment_Support_and_Review.html,"['Alaska Dept. of Environmental Conservation, Division of Information and Administrative Services']","['United States, AK']"," Conduct risk assessments, and provide risk assessment support and review. The spill prevention and response division will need assistance in completing tasks including conducting risk assessment in accordance with DEC guidance, reviewing risk assessm... ",R,X,
2/7/2018,['Funded Community Based Counter Wildlife Trafficking Activity'],http://www.dcbids.net/bid_opportunities/2018/01/05/8328391-Funded_Community_Based_Counter_Wildlife_Trafficking_Activity.html,['U.S. Agency for International Development'],"['United States, DC']", Potential applicants should regularly check the website to ensure they have the latest information pertaining to this rfa. Applicants will need to have available or download adobe program to their computers in order to view and save the adobe forms p... ,R,X,
2/7/2018,['Agri-Environmental Wilderness Expedition (AEWE trip)'],http://www.michiganbids.net/bid_opportunities/2018/01/18/8357691-Agri_Environmental_Wilderness_Expedition__AEWE_trip_.html,['Branch Intermediate School District'],"['United States, MI']", Agri-Environmental Wilderness Expedition (AEWE trip). See attached file.  ,R,X,
2/7/2018,['RFP - Website Redesign  Services'],http://www.michiganbids.net/bid_opportunities/2017/12/21/8297956-RFP___Website_Redesign__Services.html,['Caledonia Charter Township'],"['United States, MI']", Provide website redesign services. The new  website design shall be developed as an original  concept design.  ,R,X,
2/8/2018,['Viejas Mountain Reservoirs Refurbishment Project'],http://www.californiabids.com/bid_opportunities/2018/01/02/8323124-Viejas_Mountain_Reservoirs_Refurbishment_Project.html,"['Padre Dam Municipal Water District, Engineering Dept.']","['United States, CA']"," The scope of work includes, but is not necessarily limited to, the following: Base Bid - pre- construction videography and photography of work sites, and final site restoration and clean-up; remove and dispose of existing interior coating system. Cle... ",R,X,
2/8/2018,['RFP - On Call Environmental Services'],http://www.coloradobids.net/bid_opportunities/2018/01/04/8325745-RFP___On_Call_Environmental_Services.html,"['Denver Public Schools, Purchasing']","['United States, CO']", Provide environmental services for the entire district. ,R,X,
2/8/2018,"['Website Design, Construction, and Maintenance']",http://www.floridabids.net/bid_opportunities/2018/01/10/8340411-Website_Design__Construction__and_Maintenance.html,"['First Coast Workforce Development, Inc. (WorkSource)']","['United States, FL']"," To grow brand awareness and communicate more effectively with the public and assist in implementation of internal and external communications, maintain and improve features of the current websites that allow career source to reach its major constitue... ",R,X,
2/8/2018,['Maps & Globes '],http://www.washingtonbids.com/bid_opportunities/2018/01/02/8322644-Maps___Globes_.html,"[""King County Director's Association - Purchasing""]","['United States, WA']", Maps & globes. ,R,X,
2/9/2018,"['Environmental Assessment, Restoration and Cleanup. Services']",http://www.californiabids.com/bid_opportunities/2017/02/11/7566023-Environmental_Assessment__Restoration_and_Cleanup._Services.html,"['N39430 Department of the Navy, Naval Facilities Engineering Command,  EXWC Port Hueneme']","['United States, CA']"," Provide environmental assessment, restoration and cleanup. Services.  ",R,X,
2/9/2018,['RFP - Moody Creek Bridge Rehabilitation Professional Services'],http://www.californiabids.com/bid_opportunities/2018/01/13/8348245-RFP___Moody_Creek_Bridge_Rehabilitation_Professional_Services.html,"['Shasta Lake, City of']","['United States, CA']"," Provide professional services related to the design, preparation of construction documents, and services during construction. Provide project management, preliminary design, environmental compliance and permitting, right-of-way, final design, and ser... ",R,X,
2/9/2018,['RFP - 2018 Environmental Engineering Services - Community-wide Brownfields Assessment'],http://www.californiabids.com/bid_opportunities/2018/01/18/8358907-RFP___2018_Environmental_Engineering_Services___Community_wide_Brownfields_Assessment.html,['Imperial County Transportation Commission'],"['United States, CA']"," Environmental professional(s) to coordinate, direct, and oversee the brownfields assessment activities. ",R,X,
2/9/2018,"['Contract for Professional Environment Monitoring, Inspecting, and Testing Services']",http://www.georgiabids.net/bid_opportunities/2018/01/12/8192473-Contract_for_Professional_Environment_Monitoring__Inspecting__and_Testing_Services.html,"['East Point, City of']","['United States, GA']"," Perform professional environmental monitoring, inspecting, and testing services for the city.  ",R,X,
2/9/2018,['Land Acquisition Due Diligence & Professional Technical Services'],http://www.georgiabids.net/bid_opportunities/2018/01/18/8357503-Land_Acquisition_Due_Diligence___Professional_Technical_Services.html,['Atlanta BeltLine Inc. (ABI)'],"['United States, GA']"," Land acquisition due diligence & professional technical services. Provide one or multiple of the following services: appraisal, survey, environmental site assessment, and civil engineering services for site development. The initial contract shall ter... ",R,X,
2/9/2018,['Restoration / Redevelopment of the Biermann House Parcel'],http://www.minnesotabids.com/bid_opportunities/2017/12/13/8140241-Restoration___Redevelopment_of_the_Biermann_House_Parcel.html,['Olmsted County - Purchasing Dept'],"['United States, MN']", Restoration / redevelopment of the house parcel. ,R,X,
2/12/2018,['JBMDL Grass Height Mgmt'],http://www.nebraskabids.com/bid_opportunities/2018/01/16/8352632-JBMDL_Grass_Height_Mgmt.html,"['US Army Corps of Engineers, Omaha District']","['United States, NE']", The purpose of this project is support the conservation of avian species. The Air Force’s Project PTFL18NR09 contributes to JBMDL’s INRMP goals and objective 8.10.1.2 - Prevent Flocking Birds from Nesting near Airfields. Tasks under this project ... ,R,X,
2/15/2018,['Ocean Technology and Interdisciplinary Coordination'],http://www.virginiabids.com/bid_opportunities/2017/07/27/5976100-Ocean_Technology_and_Interdisciplinary_Coordination.html,['National Science Foundation'],"['United States, VA']", The Oceanographic Technology and Interdisciplinary Coordination (OTIC) Program supports a broad range of research and technology development activities. Unsolicited proposals are accepted for instrumentation development that has broad applicability t... ,R,,
2/15/2018,['Maps and Globes'],http://www.washingtonbids.com/bid_opportunities/2018/01/13/8349475-Maps_and_Globes.html,"[""King County Director's Association - Purchasing""]","['United States, WA']", Provide maps and globes. ,R,X,
2/16/2018,['Brownfields Area-Wide Plan'],http://www.oregonbids.com/bid_opportunities/2018/01/13/8349746-Brownfields_Area_Wide_Plan.html,"['Grants Pass, City of']","['United States, OR']", Qualified consultant teams to assist with the preparation of a brownfields area-wide plan to foster economic and community development. The city is a recipient of funds from the united states environmental protection agency brownfields area-wide plan... ,R,X,
2/16/2018,['Brownsfields Area-Wide Plan'],http://www.oregonbids.com/bid_opportunities/2018/01/16/8353820-Brownsfields_Area_Wide_Plan.html,"['Grants Pass, City of']","['United States, OR']", Assist with the preparation of a brownfields area-wide plan to foster economic and community development. The City is a recipient of funds from the United States Environmental Protection Agency Brownfields Area-wide Planning Grant program.  The broad... ,R,X,
2/16/2018,['Web Application Modernization and Optimization Services'],http://www.texasbids.net/bid_opportunities/2017/12/23/8304034-Web_Application_Modernization_and_Optimization_Services.html,['Comptroller of Public Accounts'],"['United States, TX']", Provide  Web  Application  and  Modernization  and  Optimization  Services.  ,R,X,
2/20/2018,"['Website Design, Development, and Hosting']",http://www.arizonabids.net/bid_opportunities/2018/01/19/8361713-Website_Design__Development__and_Hosting.html,['Paradise Valley Unified School District'],"['United States, AZ']"," Website design, development, and hosting. ",R,X,
2/20/2018,['Environmental Mitigation and Monitoring'],http://www.californiabids.com/bid_opportunities/2018/01/20/8363554-Environmental_Mitigation_and_Monitoring.html,['North County Transit District'],"['United States, CA']", Seeking the services of a contractor to be responsible for the post-construction environmental mitigation monitoring and reporting. ,R,X,
2/20/2018,['Surveying & Mapping Services'],http://www.floridabids.net/bid_opportunities/2018/01/18/8357604-Surveying___Mapping_Services.html,['Lee County Procurement Management'],"['United States, FL']", Surveying and mapping services. ,R,X,
2/20/2018,['RFP - Redesign of the Addison Website'],http://www.texasbids.net/bid_opportunities/2018/01/17/8356226-RFP___Redesign_of_the_Addison_Website.html,"['Addison, City of  -Purchasing Department']","['United States, TX']", Redesign of the Addison website. ,R,X,
2/22/2018,"['RFP - Contract for Construction, Environmental, Special Testing, Inspection, and Other Technical Services']",http://www.michiganbids.net/bid_opportunities/2018/01/19/8361672-RFP___Contract_for_Construction__Environmental__Special_Testing__Inspection__and_Other_Technical_Services.html,['Great Lakes Water Authority'],"['United States, MI']"," To provide as needed geotechnical engineering, environmental engineering, surveying, drafting, inspection, design and related technical services involving sampling, testing and analyzing of site soils, construction materials, engineered fill material... ",R,X,
2/23/2018,['National Forest Timber for Sale'],http://www.coloradobids.net/bid_opportunities/2018/01/27/8381506-National_Forest_Timber_for_Sale.html,"['Grand Mesa, Uncompahgre & Gunnison National Forest']","['United States, CO']", National forest timber for sale. ,R,,
2/23/2018,['North American Wetlands Conservation Act 2019 U.S. Standard Grants'],http://www.virginiabids.com/bid_opportunities/2017/12/23/8303397-North_American_Wetlands_Conservation_Act_2019_U.S._Standard_Grants.html,"['Dept of the Interior, Fish and Wildlife Service']","['United States, VA']"," Projects must involve only long-term protection, restoration, enhancement and/or establishment of wetland and associated upland habitats to benefit migratory birds. The program requires a 1:1 non-federal match and research funding is ineligible. This... ",R,,
2/23/2018,['Wildlife Without Borders - Africa Regional Program'],http://www.virginiabids.com/bid_opportunities/2017/12/23/8303380-Wildlife_Without_Borders___Africa_Regional_Program.html,"['Dept of the Interior, Fish and Wildlife Service']","['United States, VA']"," Providing this funding opportunity to reduce pressures on key wildlife populations, and to provide training to develop the requisite individual and institutional capacity for durable, long-term conservation success.  ",R,,
2/28/2018,['Dimensions of Biodiversity'],http://www.virginiabids.com/bid_opportunities/2017/11/07/8181173-Dimensions_of_Biodiversity.html,['National Science Foundation'],"['United States, VA']"," Despite centuries of discovery, most of our planet's biodiversity remains unknown. The scale of the unknown diversity on Earth is especially troubling given the rapid and permanent loss of biodiversity across the globe. The goal of the Dimensions of ... ",R,,
2/28/2018,['Atmospheric System Research'],http://www.dcbids.net/bid_opportunities/2017/11/17/8211599-Atmospheric_System_Research.html,['Office of Science U.S. Department of Energy'],"['United States, DC']"," Atmospheric System Research (ASR) in the Climate and Environmental Sciences Division (CESD), Office of Biological and Environmental Research (BER) of the Office of Science (SC), U.S. Department of Energy (DOE), supports research on key cloud, aerosol... ",R,X,
3/2/2018,['RFP - Energy Efficiency Incentive Program Data & Administrative System'],http://www.nebraskabids.com/bid_opportunities/2018/02/03/8399876-RFP___Energy_Efficiency_Incentive_Program_Data___Administrative_System.html,['Lincoln Electric System'],"['United States, NE']"," An experienced, comprehensive cloud-based energy efficiency and demand response incentive Data and Administrative System (DAS) Software-as-a-Service (SaaS) provider. Cloud-based, Software-as-a-Service solution accessible through common browser applic... ",r,,
3/2/2018,['Long-Term Ecological Research'],http://www.virginiabids.com/bid_opportunities/2017/08/30/8012695-Long_Term_Ecological_Research.html,['National Science Foundation'],"['United States, VA']"," Provide  1) the research is located at specific sites chosen to represent major ecosystem types or natural biomes, and 2) it emphasizes the study of ecological phenomena over long periods of time based on data collected in five core areas. Long-term ... ",R,,
3/2/2018,['Common Stand Exam'],http://www.westvirginiabids.com/bid_opportunities/2018/01/17/8356390-Common_Stand_Exam.html,"['Dept. of Agriculture, Forest Service, R-9 Ohio River Basin Shared Procurement Cluster']","['United States, WV']"," Provide technical forestry services that will be used to conduct the field phase of Common Stand Exams. Work will consist of locating, establishing, measuring, and recording data for sample plots. ",R,X,
3/5/2018,['WDC Environmental Assessment '],http://www.connecticutbids.com/bid_opportunities/2018/01/16/8352769-WDC_Environmental_Assessment_.html,"['Waterbury, City of']","['United States, CT']", To provide environmental assessment.  ,R,X,
3/6/2018,['Strategic Environmental Research and Development Program (SERDP)'],http://www.virginiabids.com/bid_opportunities/2017/10/28/8157751-Strategic_Environmental_Research_and_Development_Program__SERDP_.html,['US Army Humphreys Engineer Center Support Activity ATTN: CEHEC-CT'],"['United States, VA']", Strategic Environmental Research and Development Program (SERDP) ,R,,
3/8/2018,['Environmental Security Technology Certification Program (ESTCP) - Environmental Technology Demonstrations'],http://www.virginiabids.com/bid_opportunities/2018/01/11/8341217-Environmental_Security_Technology_Certification_Program__ESTCP____Environmental_Technology_Demonstrations.html,['US Army Humphreys Engineer Center Support Activity ATTN: CEHEC-CT'],"['United States, VA']", Environmental security technology certification program. ,R,,
3/8/2018,['FY 2019 Environmental and Installation Energy Technologies Funding'],http://www.virginiabids.com/bid_opportunities/2018/01/13/8348255-FY_2019_Environmental_and_Installation_Energy_Technologies_Funding.html,['Strategic Environmental Research and Development Program (SERDP) Environmental Security Technology Certification Program (ESTCP)'],"['United States, VA']"," Environmental restoration, munitions response underwater, resource conservation and resiliency, Weapons Systems and Platforms, Energy Efficiency Technology Demonstrations Integrated with Utility Energy Services Contracts (UESC), Effective Use of Util... ",R,,
3/31/2018,['Emergency and Rapid Response Services (ERRS) R7 & R9'],http://www.kansasbids.com/bid_opportunities/2018/02/02/8393903-Emergency_and_Rapid_Response_Services__ERRS__R7___R9.html,['Environmental Protection Agency Office: Office of Acquisition Management'],"['United States, KS']"," Environmental cleanup services associated with the release of hazardous substances/wastes/pollutants and contaminant/materials and petroleum products/oil. Environmental cleanup in response to natural and manmade disasters, terrorist activities, weapo... ",R,,
3/31/2018,['Emergency and Rapid Response Services (ERRS) R7 & R9'],http://www.kansasbids.com/bid_opportunities/2018/02/02/8393903-Emergency_and_Rapid_Response_Services__ERRS__R7___R9.html,['Environmental Protection Agency Office: Office of Acquisition Management'],"['United States, KS']"," Environmental cleanup services associated with the release of hazardous substances/wastes/pollutants and contaminant/materials and petroleum products/oil. Environmental cleanup in response to natural and manmade disasters, terrorist activities, weapo... ",R,,
